time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-06T14:19:35.060Z,37.2222,-116.6897,7.3,0.1,ml,7,263.44,0.102,0.03,nn,nn00664462,2018-11-06T14:25:56.554Z,"35km N of Beatty, Nevada",earthquake,,1.3,,,automatic,nn,nn
2018-11-06T14:09:31.960Z,36.751,-115.8485,16.9,0.6,ml,15,255.36,0.15,0.11,nn,nn00664459,2018-11-06T14:10:58.343Z,"61km NNE of Pahrump, Nevada",earthquake,,1.5,,,automatic,nn,nn
2018-11-06T14:06:55.410Z,31.3472,130.2859,153.47,4.5,mb,,95,1.841,0.71,us,us2000i7h0,2018-11-06T14:55:39.040Z,"8km SSW of Kaseda, Japan",earthquake,5.7,6.6,0.08,46,reviewed,us,us
2018-11-06T13:52:22.750Z,37.1813,-116.7007,7.9,1.1,ml,18,120.68,0.092,0.15,nn,nn00664454,2018-11-06T13:53:39.018Z,"30km N of Beatty, Nevada",earthquake,,1.3,,,automatic,nn,nn
2018-11-06T13:47:14.440Z,38.0036659,-122.0680008,10.21,1.22,md,6,171,0.04718,0.02,nc,nc73107471,2018-11-06T14:20:03.200Z,"2km NNE of Pacheco, CA",earthquake,0.86,1.37,0.25,6,automatic,nc,nc
2018-11-06T13:27:55.020Z,36.009,-117.979,3.19,0.73,ml,14,172,0.07185,0.13,ci,ci38351232,2018-11-06T13:50:04.463Z,"5km SW of Coso Junction, CA",earthquake,0.44,1.33,0.157,4,reviewed,ci,ci
2018-11-06T13:17:32.290Z,19.1448326,-155.6966705,7.27,2.37,ml,32,122,0.05325,0.29,hv,hv70676111,2018-11-06T13:23:17.300Z,"11km NE of Hawaiian Ocean View, Hawaii",earthquake,0.65,1.14,0.42,5,automatic,hv,hv
2018-11-06T13:01:33.160Z,38.7546654,-122.7096634,-0.84,1.32,md,9,190,0.01575,0.26,nc,nc73107461,2018-11-06T13:37:02.940Z,"3km SW of Anderson Springs, CA",earthquake,1.39,2.36,,3,automatic,nc,nc
2018-11-06T12:50:54.150Z,37.2946663,-121.6738358,2.83,2.04,md,29,55,0.03562,0.03,nc,nc73107456,2018-11-06T13:10:02.766Z,"15km E of Seven Trees, CA",earthquake,0.14,0.5,0.15,21,automatic,nc,nc
2018-11-06T12:49:53.597Z,62.2312,-151.3912,86.2,1.9,ml,,,,0.55,ak,ak20333341,2018-11-06T12:54:39.561Z,"67km W of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-11-06T12:28:58.340Z,33.4746667,-116.4126667,12.12,0.64,ml,24,125,0.04981,0.17,ci,ci38351208,2018-11-06T13:50:26.463Z,"23km SSW of La Quinta, CA",earthquake,0.35,0.75,0.13,17,reviewed,ci,ci
2018-11-06T12:02:19.630Z,36.6870003,-121.3128357,1.71,2.04,md,27,106,0.076,0.05,nc,nc73107441,2018-11-06T12:48:02.629Z,"12km S of Tres Pinos, CA",earthquake,0.24,6.58,0.16,22,automatic,nc,nc
2018-11-06T12:00:00.610Z,19.1965008,-155.4603271,34.83,2.27,md,43,109,0.04091,0.1,hv,hv70676046,2018-11-06T12:03:34.530Z,"2km ESE of Pahala, Hawaii",earthquake,0.51,0.56,0.12,22,automatic,hv,hv
2018-11-06T11:48:04.200Z,19.1508331,-155.4716644,33.44,2.07,md,46,165,0.01011,0.14,hv,hv70676031,2018-11-06T11:51:37.210Z,"6km S of Pahala, Hawaii",earthquake,0.71,0.95,0.21,14,automatic,hv,hv
2018-11-06T11:38:24.623Z,61.522,-149.9127,35,1,ml,,,,0.29,ak,ak20333332,2018-11-06T11:45:08.902Z,"2km E of Big Lake, Alaska",earthquake,,4.3,,,automatic,ak,ak
2018-11-06T11:32:43.983Z,38.5531,-118.4435,5,1.1,ml,9,87.94,0.144,0.0977,nn,nn00664452,2018-11-06T15:51:39.603Z,"16km ENE of Hawthorne, Nevada",earthquake,,15.3,0.17,3,reviewed,nn,nn
2018-11-06T11:19:28.520Z,-5.2137,146.332,163.21,5,mb,,51,3.314,0.85,us,us2000i7es,2018-11-06T11:38:55.040Z,"59km E of Madang, Papua New Guinea",earthquake,7.8,7.1,0.045,158,reviewed,us,us
2018-11-06T11:04:59.390Z,36.7638,-116.2739,8.2,-0.3,ml,23,53.14,0.056,0.1783,nn,nn00664450,2018-11-06T15:45:29.195Z,"46km ESE of Beatty, Nevada",earthquake,,1.2,0.59,9,reviewed,nn,nn
2018-11-06T11:03:07.071Z,61.7712,-140.0927,0,1.5,ml,,,,0.72,ak,ak20333287,2018-11-06T11:06:12.758Z,"179km NW of Haines Junction, Canada",earthquake,,1.1,,,automatic,ak,ak
2018-11-06T10:45:36.460Z,34.9906667,-118.4921667,0.13,1.17,ml,24,56,0.1237,0.23,ci,ci38351192,2018-11-06T10:49:09.773Z,"16km SSW of Tehachapi, CA",earthquake,0.33,0.76,0.215,24,automatic,ci,ci
2018-11-06T10:33:16.780Z,60.0735,-141.9812,9.7,1.3,ml,,,,0.61,ak,ak20333284,2018-11-06T10:35:58.122Z,"25km E of Cape Yakataga, Alaska",earthquake,,1,,,automatic,ak,ak
2018-11-06T10:11:11.490Z,38.8086662,-122.8180008,2.52,0.93,md,12,65,0.008735,0.04,nc,nc73107431,2018-11-06T10:25:02.424Z,"6km WNW of The Geysers, CA",earthquake,0.37,0.68,0.13,2,automatic,nc,nc
2018-11-06T10:02:25.042Z,38.4335,-116.9496,7.9,0.9,ml,10,118.37,0.418,0.1936,nn,nn00664448,2018-11-06T15:30:05.179Z,"47km NNE of Tonopah, Nevada",earthquake,,18.6,0.15,4,reviewed,nn,nn
2018-11-06T09:40:42.610Z,36.1551667,-118.0518333,12.57,1.26,ml,8,147,0.1638,0.19,ci,ci38351184,2018-11-06T09:44:26.976Z,"15km SSW of Olancha, CA",earthquake,0.74,2.19,0.088,15,automatic,ci,ci
2018-11-06T09:38:20.081Z,38.4336,-116.9191,8.1,0.9,ml,8,121.26,0.431,0.1944,nn,nn00664447,2018-11-06T15:20:51.614Z,"48km NNE of Tonopah, Nevada",earthquake,,13.3,0.12,2,reviewed,nn,nn
2018-11-06T09:29:19.780Z,33.6306667,-116.856,13.73,0.32,ml,8,100,0.07978,0.04,ci,ci38351176,2018-11-06T13:51:18.578Z,"14km SSE of Valle Vista, CA",earthquake,0.27,0.5,0.125,8,reviewed,ci,ci
2018-11-06T09:08:06.100Z,33.344,-116.825,15.51,0.4,ml,22,41,0.03294,0.23,ci,ci38351168,2018-11-06T09:11:42.901Z,"4km ESE of Palomar Observatory, CA",earthquake,0.41,0.94,0.145,10,automatic,ci,ci
2018-11-06T09:06:38.100Z,18.62,-66.7391,15,2.04,md,5,272,0.2738,0.43,pr,pr2018310003,2018-11-06T11:52:15.664Z,"16km N of Arecibo, Puerto Rico",earthquake,2.67,4.11,0.4,5,reviewed,pr,pr
2018-11-06T09:05:07.386Z,63.0066,-150.1787,73.4,1.4,ml,,,,0.9,ak,ak20333240,2018-11-06T09:09:35.556Z,"75km SW of Cantwell, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-11-06T09:00:29.430Z,38.6617,-118.8931,6.5,1.1,ml,17,77.49,0.422,0.1787,nn,nn00664445,2018-11-06T14:56:17.504Z,"27km WNW of Hawthorne, Nevada",earthquake,,7.1,0.16,9,reviewed,nn,nn
2018-11-06T08:43:27.200Z,33.5085,-116.7936667,3.85,0.32,ml,16,47,0.006788,0.12,ci,ci38351160,2018-11-06T13:52:05.970Z,"10km NE of Aguanga, CA",earthquake,0.26,0.56,0.106,7,reviewed,ci,ci
2018-11-06T08:31:01.020Z,-19.7185,-69.4267,86.22,4.7,mb,,60,0.219,0.77,us,us2000i7cy,2018-11-06T12:05:13.662Z,"93km NE of Iquique, Chile",earthquake,6.2,4.3,0.046,146,reviewed,us,us
2018-11-06T08:09:09.730Z,38.8088341,-122.8201675,1,1.47,md,21,73,0.00704,0.06,nc,nc73107426,2018-11-06T11:01:03.662Z,"6km WNW of The Geysers, CA",earthquake,0.24,0.38,0.1,4,automatic,nc,nc
2018-11-06T08:04:24.810Z,36.0143333,-117.9816667,4.99,0.82,ml,13,180,0.07429,0.07,ci,ci38351152,2018-11-06T13:53:45.591Z,"4km SW of Coso Junction, CA",earthquake,0.28,1.05,0.215,8,reviewed,ci,ci
